content;label
Ya murtad, do you expect from the Muslims to give up jihad and let the kuffar take over their lands?  Your kind keeps asking their American masters to start a second invasion of Afghanistan but have a problem when Afghans show resistance.;1
>>388345708  (((Neoliberal))) owners of Romania replacing the current workforce with immigrants so they dont have to pay romanians a living wage high enough to raise romanian kids  Side effect: white genocide and Great Replacement  Your mortal enemy: any and all jews and americans and anglos, Wall Street, bankers, financial institutes like Blackrock, big international corporations;1
>>388315145 Kikes hate Whites period as evidenced by the Great Replacement. They want the public to hate niggers, democrats, republicans, christians, Whites, Russians, China and anyone so long as they dont hate kikes. It's the old divide and conquer strategy. Everyone gets tricked into fighting everybody except the jewish elite who own every powerful institution.;1
"Cope harder you inferior infidel dog. Islam is back and stronger than ever. There is NOTHING standing in the way of Sunni Islam conquering the entire globe and here is why. No doubt you pathetic kuffar dogs have heard about the brave Mujahideen's victory over the US led Globohomo Coalition in Afghanistan all praise to Allah. The Mujahideen have defeated Russia twice then the ENTIRE W*stern world united against us and STILL lost. Do you really believe the Mujahideen could have done this with any other ideology? Can you dogs imagine Chr*stain warriors, J*wish warriors, Bh*ddist warriors, Shi'ite warriors or even Ath*ist warriors completing such a feat? This is why Sunni Islam will win. This is why Sunni Islam is here to stay. This is why Sharia Law is here to stay. Who the fuck do you think you Infidel dogs are messing with? We Mujahideen are war veterans of the highest standard, youre all little pathetic cumskin dogs who jerk off to cartoons then watch anime after. All you pathetic little cumskins did to ""fight back"" against us was change your facebook profile pictures LMAO who the FUCK do you think is going to win kaffir? Sit the fuck down. I promise you infidel dogs, you will all either convert or kneel at our feet. The kikes have bred you cumskin Infidels to be effeminate pussies over the last 200 years. Remind me again what music is popular in your kuffar country, autotune pop with some fat slut shaking her ass? The Mujahideen produce superior Jihad Nasheeds how the FUCK can you kuffar and apostate dogs compete? You have no strength, no zeal and no warriors. Even if you white dogs did have a small percentage of abled warriors I guarantee you they would rather join the Mujahideen. The W*st is ripe for Islamic takeover by 2050 and there is NOTHING you can do about it.";1
">>388313331 The insidiousness of Jewish power: https://gab.com/Apolitical/posts/108690860226324065  ""Our Destroyed Country"" https://www.paulcraigroberts.org/2022/07/20/our-destroyed-country/ https://archive.vn/cdFMw  Civil War in the US is inevitable because social cohesion, national unity and social trust are gone and they are never coming back (it took over 80 years of internal sabotage to achieve it via demographic/ethnic and cultural subversion, and the damage is permanent and irreversible), the future will be decided by those strong and determined enough to carve their own future when they rebuild from the ashes of the already dead USA: https://www.armstrongeconomics.com/international-news/politics/pushing-the-envelop-for-civil-unrest/ https://archive.vn/TzcJ6  Jews control America, and one proof of that fact is that they try to destroy anyone that openly states that fact: https://gab.com/Halp/posts/108686054113662612  The West is not dying, it's being killed. And the people killing it have names and addresses (disclaimer: always follow the law): https://gab.com/kirkcp/posts/108700343977903311  How Jews subverted China with their nation wrecking communism: https://gab.com/HenrikPalmgren/posts/108699374625180745  https://www.dailymail.co.uk/news/article-11032711/Americans-survey-violence-University-California-Davis-democracy-threat-civil-war- https://archive.vn/tsmg3 ""Half of Americans expect a second U.S. civil war within YEARS, more than 40% agree with 'great replacement theory' and nearly a fifth expect they will choose to bring a gun to a violent political row, alarming poll shows""";1
"You crossdogs cant do shit against us. The Mujahideen have defeated Russia twice then the ENTIRE W*stern world united against us and STILL lost. Who the fuck do you think you Infidel dogs are messing with? We Mujahideen are war veterans of the highest standard, youre all little pathetic crossdogs who jerk off to cartoons then watch anime after. Even your own crossdog women cant stand the sight of you. Whats the saying? The loudest dog has the weakest bite? Remind me again what you White crossdogs did after the Mujahideen martydom operations all over Europe, Australia and the US the past 5 years? Do you remember? All you pathetic little crossdogs did to ""fight back"" against us was change your facebook profile pictures LMAO who the FUCK do you think is going to win kuffar? Sit the fuck down Sunni Islam is coming. Sharia Law is coming. The Caliphate is coming. And you white infidel dogs cant do a thing about it.  Keep barking at the rise of Islam you crossdog. You won't be laughing when your infidel women are getting slaughtered by /soldiers of the Caliphate/. You won't be laughing when your faggot and tranny friends are getting thrown off rooftops ISIS style. You won't be laughing when there is a knife to your throat and you're in a retirement home, crying over the fact that Muslims bred you out of existence. Sunni Muslims and Shia dogs will wipe the infidel dog from this planet. The black flag of the Caliphate will fly from the ruins of Parliament House. The crossdog will be beheaded, and his head installed on a fence post as a warning to other infidels. Inshallah!";1
">>388314190 The consequences of allowing Jewish collective power to operate in any country: https://twitter.com/PeterSweden7/status/1540723517225897985 https://archive.vn/WkWV9  Spain border police has had enough: https://gab.com/Nature_and_Race/posts/108546230921637478  ""Dangerous to Name (((those))) that Enslave You"" https://odysee.com/@JohnTheConfederate:1/a2ba5105e9521f4c:9  Jewish NGOs facilitating Immigration from 3rd world into the West: https://gab.com/The_Nose/posts/108611429861594272  Corporate culture is 100% anti-White and needs to be purged if the West is to survive: https://archive.4plebs.org/pol/thread/385670550/  Two Dutch 20 year old virgin girls raped by invader at his refugee status acquisition party: https://archive.4plebs.org/pol/thread/386047866/  9 year old Swedish girl beaten into coma by. 13 year old Ethiopian invader just given permanent residence: https://archive.4plebs.org/pol/thread/387015849/  White Genocide/Great Replacement is a reality: https://gab.com/thuletide/posts/108624250636020670  https://gab.com/The_Nose/posts/108673715300682818  https://gab.com/VDARE/posts/108671508378139224  How the Republican party betrays all White people: https://gab.com/Halp/posts/108651362417972277  https://gab.com/shadowknight412/posts/108649973516451910  How the uniparty works: ""Democrats bring the invasion of illegals in. Republicans turn them into legal citizens. One hand washing the other.""  https://gab.com/Nature_and_Race/posts/108657311689516085  White people have no political representation in the West: https://gab.com/Stanleymitchell90/posts/108667944768995822  https://gab.com/Apolitical/posts/108674031486224901";1
Nigger women attack cops because getting arrested is the only way they can get White men to touch them.;1
Better to live in the stone Age than your modern age of W*stern values such as the worship of homosexuals, niggers, trannies and other undesirables. You white infidel dogs are going extinct and most of you are cheering for it. That is why you are so hostile, I can see the desperation inside of you. Knowing there is nothing you can do to save yourself, save your race or save your culture. The Mujahideen will replace you, we ARE replacing you. And the best part is? You cumskin infidels are financing the entire thing. Sunni Islam and Sharia Law is coming kaffir, and we will not be kind to the likes of you.;1
Keep insulting, i will kill 1000 infidels, i will let the soil drink from your blood kaffir pigs, you will never defeat us, we will kill you all, we will terrorize you in your homes, we will murder your children, enslave you and work you to death, and sell your women into sex slavery and rape them to death, we will burn down your civilization to the ground.;1
Salaam alaikum, my name is Abu Khorosani al-Australie I?m a 27 year old Australian Mujahid (Jihadi for you infidels). I read the Qur'an and ISIS training manuals on my tablet, and spend my days perfecting my bomb making skills and listening to superior Nasheeds by Al-Hayat Media Group. I train with my /unregistered firearm/ every day, this superior weapon can cut clean through kevlar because it is made by Russian slaves in rusting factories and is vastly superior to any other firearm on earth. I have been getting better every day. I speak Arabic and Pashto fluently. I know everything about Islamic history and their sharia law, which I follow 100%. When I get my Iranian visa, I am crossing the border into Afghanistan to attend a prestigious training camp to fight the Taliban apostate dogs and learn about the brave Mujahideen of the Islamic State. I hope I can become a suicide bomber for ISIS-K or an IED designer! I own several Islamic head bands, which I wear around town. I want to get used to wearing them before I move to Afghanistan, so I can fit in easier. Wish me luck in Khorasan province!;1
>>388158488 >be me >early 2022 >live in absolute city center of big city >watch media videos explaining why the 'great replacement' is a xenophobic far-right theory >look out window >50% of passerbys are either nigger or arab Moved out of this hellhole but they're everywhere;1
Reminder that Shariah Law will be established and there is nothing you can do about it. This will be the anthem of the Islamic European Union  https://m.youtube.com/watch?v=itjEycnux5s [Embed]  Yes, homosexuals will be executed Yes, adulterers will be stoned Yes, fornicators will be lashed Yes, magicians/satanists will be executed Yes, usury will be banned Yes, alcohol and intoxicants will be banned Yes, we will take women rights away Yes, women will be removed from politics/media Yes, we will bring back the gold standard Yes, atheists and pagans will be annihilated Yes, Christians and Jews will have to pay the 2% tax (Jizya) or they will be annihilated too Yes, we will get rid of the age of consent Yes, we will bring back slavery Yes, you will live to see this happen;1
Having white children is the single most based thing a man can do in todays world. The kikes want the shitskins breeding out of control to replace us and everyone knows this it?s an open secret. Fight them anons. Go forth and multiply.;1
I think I've had just about enough of clown world. It's all so tiresome. Gonna rampage on some people who deserve it for once. Screencast this.;1
this. insane nepotism. Once a kike infiltrates an organization it is only a matter of one or two generations before they have their whole kike family in every high up position. The Indians (poo) are doing the same thing with the tech industry in the USA.;1
Do you want a burial out in the bush where nobody will find you? Keep barking the way you are dog. The Mujahideen prepare for the worst, the Mujahideen prepare for fighting against overwhelming air superiority, numbers, technology and against all odds. The Mujahideen are experts in all warfare and have the victories to prove it. So I ask, what the FUCK is one little cumskin Infidel like you gonna do? Let me tell you. Do you know what the Mujahideen did today? They trained for Jihad, for attrition, for endless war. Do you know what you did today? You jerked off to men in skirts then watched anime like the rest of your fellow cumskins did. Who the fuck do you think is going to win kaffir? You dogs truly are fucking pathetic, Im sorry more of you weren't killed by the Mujahideen but there's good news at least, you cumskin dogs are financing your own replacement and most of you are even happy about doing so. The West will be Sunni Islam by 2050, your birth rate is at replacement level and dropping fast. You white cumskins have no warriors, no culture, no zeal or no confidence. You should thank us for putting you out of your pathetic misery like an injured dog. I almost pity you cumskin infidels, knowing Sunni Islam is coming but there is NOTHING you can do.;1
I hope Palestine and Israel kill each other, idiot. I never said pissrael was good. Fuck kikes and fuck sandniggers. Fuck kike-lovers and sandnigger-lovers too  ALL HAIL ROBERT BOWERS ALL HAIL BRENTON TARRANT ALL HAIL FRAZIER GLENN MILLER;1
That is quite the psychological projection you got going on there. Being remembered for something?   It's about killing people who shouldn't be alive or to send a message, not fucking fame retard. YOU wish to be famous, not mass shooters.   However Brenton Tarrant is a hero and defender of western civilization. God bless him.   Fuck Jews.;1
And people are fucking surprised that Brenton Tarrant fucking took it out on New Zealand. THERE SHOULD BE MORE OF HIM!;1
let's dedicate this thread to our hero brenton tarrant. The sand nigger cleanser.;1
"Why does /pol/tards* disown Brenton Tarrant by calling him a rabbi or jew for having visited Israel?  >He visited North Korea That doesn't make him a communist gook. >He visited Pakistan and some Middle East countries. That doesn't make him a Paki or a muzzie. >He visited Ethiopia That doesn't make him a nigger.  He attacked muslims not kikes because Robert Bowers attacked a leftist kike synagogue just a few months ago and almost no one in modern history attacked muslims living in white countries (only aside from Alexandre Bissonnette) despite muslims making the deadliest terror attacks in white countries: 9/11 attack - 2,977 dead, 2015 Paris attacks - 130 dead, Beslan School Siege - 430+ dead, 2016 Nice, France Attack - 86 Dead, 1999 Russian apartment bombing - 100 to 200+ Dead. Also muslims are breeding like rabbits and grooming gangs targeting white little girls.  >INB4: MUH MUSLIMS BASED THEY RIGHT ABOUT FAGGOTS AND KIKES!!! If they're based, then why do MOST muslim terror attacks' european victims aren't gay or kikes? And why does muslims EXTREMELY VERY RARELY attacked targeting kikes or faggots? Huh, Hypocrite much sucking muslims' dick? >INB4: FED GLOWIE THREAD FALSE FLAG!! you're so predictable, idiot. You think White Men avenging terror attacks aren't real? Then if it never happened, then Whites look like cucks because they just let themselves be killed by terror attacks and won't avenge.   */pol/tards are different from /pol/chads. /pol/tards are low iq, likely non-whites and immediately call anyone they hate or disown ""JEW!!"" But /pol/chads are high iq people who will only believe a person is a kike only if there's a solid evidence. /pol/chads are the COMPLETE opposite, the real Ubermensch.";1
Based and 4channy as fuck! Go commit an act of 4chan! How many body bags can YOU fill? Can you meet the high score of Brenton Tarrant, patron saint of /pol/?!;1
Every times someone says ?Two more weeks? I want to rip my fucking hair out. Take a look around you stupid cock sucking mother fuckers. It is now, for the first time ever, generally known that the government is run by actual, literal satanic pedophiles. Now, you can say whatever you want about about how you were the FIRST ONE ever red-pilled, and how you know everything, and how nothing ever happens... but *I?M* telling you, IT ALREADY FUCKING HAPPENED. It?s just so big you can?t even fucking see it. Imagine that? You spent 10 years digging and memeing and reading, and when the shit finally hit the fan, you were sitting there with your thumb up your ass looking like a fucking retard. Whew.;1
"Without question, this is one of the most frustrating attitudes on /pol/. >I hate Q because I already know everything he says and he appeals to boomers and not me. >I hate Russell Brand because I already know everything he says and he appeals to normies and not me. >I hate white rappers because I already know everything they say and they appeal to idiots and not me. That's the fucking point, you retards. Everyone here who isn't a shill or bot already knows about the kikes and their lies. Why would anyone create media to tell YOU what YOU already know? The point is to spread that awareness to all the people who don't already think like us, who wouldn't normally come here, and to get as many of them on our side as fucking possible to counter the kike psyops.  We used to fantasize on /b/ and in the early days of /pol/ about a time when the masses would start questioning 9/11 and Sandy Hook and other kike bullshit. But now we're overrun with bitchy, whining narcissists that are threatened because their superficial identity as being ""in the know"" about the kikes is threatened. >OMG I KNEW THIS SHIT TEN YEARS AGO FUCKING IDIOTS FUCK YOU I'M SPECIAL AND YOU ARE BENEATH ME The people who think this way are literally no fucking different than those in secret societies who want to hoard ""secret knowledge"" for themselves, and it really is a great illustration of how such organizations can be sustained in the first place. Get the fuck over yourselves and rejoice that what we believe is increasingly ceasing to be ""fringe extremist schizo shit"". >inb4 MUH CONTROLLED OPPOSITION You will say that about anyone who experiences success in spreading our ideas to a wide audience. Sick of this well-poisoning bullshit. >inb4 MUH GRIFTER Why the fuck do you care if someone else is making money if they're telling the truth? Again, more well-poisoning from people who just seem to want to stop the mass awakening that is already happening.";1
Hitler was the chosen one. One of the great judges prophesied since ancient days. His spirit will rise again, this time in North America. We are nearly there. The more they demoralize us, the closer we get to our awakening. There will be another like him that has spent their entire life inspired by him.  The North American Empire will begin as a Nationalist Socialist state. Even if we are defeated by the entire world assailing our continent, we will make such a stand that the world will never again dare to challenge us on a racial basis.  By 2025 you will all see for yourselves what I speak of. DESTINY is upon us.;1
WORSHIPPING JEW GOD IS BEING A RACE TRAITOR CAUSE YOU HOLD THE JEW CHOSEN RACE ABOVE YOURSELF. THIS IS SLAVE CUQ NIGGERSHIT. ATHEISM IS JEWTV DEGENERACY AND IS ALSO JEWISH. JEW FULL SPECTRUM DOMINANCE NIGGER. THE SOLUTION IS A SINGLE POINT A NEW RELIGION WITH A WHITE GOD BECAUSE PERFECTED TREES OF RACIST LOGIC WHICH ARE NECESSARY FOR THE SURVIVAL OF RECESSIVE PEOPLES ARE UNOBTAINABLE BY THE MASSES SO THEY WILL HAVE TO BE BRAINWASHED BY A SYSTEM FOR US BY US WHERE WE WRITE THE RULES INSTEAD OF JEWS AND CHRISTKIKE HYBRIDS WRITING THE RULES TO GENOCIDE US. THIS IS FUCKING STARTING POINT THE MORE YOU FUCKING NIGGERS IGNORE THIS ALL YOU DO IS EMBRACE YOUR DOOM. YOU DO NOT PASS GO YOU GO STRAIGHT TO HELL, NIGGER. KEEP SUCKING THAT JEW GOD DICK SEEMS LIKE ITS WORKING OUT FOR YOU............;1
> Beware of Anti-White PsyOp (psychological operations) agents/posters shilling a false narrative (usually posting something that denigrates or intends to cause harm to Whites).  > These people will post threads and may also pretend to interact within a thread, again in a manner to cause harm to Whites.  > Popular topics include: BBC, White Replacement, White Genocide, BNWO, Interbreeding, Cuckolding, Insults, Demoralization, Trying to cause division among Whites, Trying to confuse Whites.  > Other topics include: Shilling for progressive/liberal agenda, Attempting to keep White men away from black women, Trying to make it seem normal for White women to date outside their race.  > They want White Men to remain passive or they want White Men to leave the country.  > ?Racism? and ?racists? are new concepts, ?racism? being introduced in 1902 and not becoming popular until 1930s, designed to weaken the Whites and empower blacks. It?s as if someone wanted you to stop breathing so they called you a ?breathist? and tried to make you feel guilty about breathing. Same thing with ?racist.? They don?t want you to use your natural ability of discrimination because blacks cannot compete, and this allows them to victimize you without fear of retaliation.  > Learn about what?s really going on:  > START HERE Necessary nigger information [massive amount of useful info] >>>/b/882794370  Niggers without camouflage [rare glimpse at reality] >>>/b/882794421  Victims of black hatred. [don?t let this continue] >>>/b/882794472  > Most people don?t know what?s happening, so please help to spread awareness!;1
ok Gangstalkers niggers are starting to become a really big problem especially in my hometown of Chicongo Illiniggers in the Uniggered States. It has gotten to the point where if I interact with anyone who contains melanin within their skin who isn't either violent or completely unintelligible it perplexes me. I've actually had to try to study ebonics just to decipher the bix nood shit to stay a step ahead of their tweaks. If niggers or any non whites are going to stick around as a whole then first of all we need to remove the uppity retarded culture that infects many minorities and even some whites. I call it the Bad Culture. The problem is that it's almost impossible to get rid of the Bad Culture through rhetorical means (let alone legislative lmfaooo) since it's self perpetuating starting at young ages. Practically speaking, any real future action regarding niggers (especially when it comes to retaking American urban areas) would have to be in minecraft.;1
"The sign says that the shop was ""Formerly Chuck's"", implying that the two words beginning with ""F"" and ""S"" would have ended with ""-uck"", rhyming with ""Chuck"". So, when Chuck owned the shop, it would have been called ""Chuck's Fuck and Suck"".  Therefore the shop is obviously involved in pornography.  Sneed bought the shop off Chuck. Sneed is a popular Jewish surname. Chuck was selling old-fashioned American porn but the porno shop is now owned by a Jew.  The shop is now called ""Sneed's Feed & Seed"". It's a reference to the BBC Porn he now promotes, in which white women are ""fed"" and ""seeded"" by BBC.  Feed and seed both end in the sound ""-eed"", thus rhyming with ""Seethe"".  The joke is a double entendre, Jews feeding you BBC porn, while you jerk off and SEETHE.  So the shop is actually called ""Sneeds' Feed and SEETHE"".   >SNEEDS FEED AND SEETHE >SNEEDS FEED AND SEETHE >SNEEDS FEED AND FUCKING SEETHE  Jannies this is poolitcs as Sneed is a metaphor for the current porn problem";1
Join the great Aryan awakening.  The pic is a symbol of our race and movement.  Here is more info.  Newest english translation of the oera linda book https://oeralinda.nl/  Audio reading https://youtu.be/kdPjnVunTQw  Three videos dealing with a introduction to the Aryan Scriptures  https://youtu.be/rYT_WugMLoY  https://youtu.be/XujB_NhKTy4  https://youtu.be/gvt5jJnMruc  Here is a link dealing with our origin and evidence https://aryanscriptures.wordpress.com/the-hymn-of-our-origin-chapter-1/  And a prayer for all Aryans https://youtube.com/shorts/zElBN5p1yHI?feature=share  Wear the symbol proudly.;1
You're not welcome here.   DNA is Jewish so here are the MINIMUM requirements:  Not a Jew   White skin  Brown hair (not dark brown/black). If your hair looks black in a well lit room fuck off  Brown eyes are fine as long as they're light brown. Dark brown/black = Fuck off.  If you passed these but you're ugly without being extremely skilled at something then fuck off. You may as well be a jew Those are the appearance requirements, here are some further ones.   - No listening to rap music  - No smoking or vaping  - Drinking only in moderation  Of course you will be given a little time to change as we've been born into certain vices in this evil Jew world  Sieg Heil!;1
Cope harder you inferior infidel dog. I jerk off everyday to ISIS attacks on euroaches, I jerk off everyday to the bombing of m*drid subway, to Bataclan, to trucks running over euroaches in France and Germany like the sack of pus they are, to Ebba the little hoe who dropped dead like a sack of shit, to the two euroach whores beheaded in Morocco, nothing pleases me more than seeing infidel dogs killed in the most gruesome way possible, be it at the hands of my Arab and Berber brothers or at the hands of my black brothers. Kuffar will be extinct before the century ends.;1
"Slave to the Matrix AWAKEN  This thread, will detail the Goyim program, and how to break free. We will detail a timeline of human life and where the Jew slips in its demonic programming of slavery, where'as the Christian God and Odin want you to instead be free and independant.   Birth: A newborn baby gets 40+ vaccines by the time they are 10 years old, these vaccines contain neurotoxin's such as: Mercury (Thimerosol), Alluminum (Neurotoxin, associated with alzheimers), Formaldehyde (Preserves dead bodies, obviously not good for living creatures), Polysorbate 20/80 / Tween20 (Weakens the blood brain barrier) MRC-5 (Contains over 500+ cancerous genetic sequences, babies are injected with cancerous DNA), WI-38 (cancerous, black woman vagina cancer cells which replicate and take over other cell lines)  The water, is either Flouride-laden or XenoEstrogen laden. The flouride makes human pineal gland less active via calcificaiton, and the xenoestrogens turns men gay and causes young girls to go into puberty early in an unnatural way.  The Food: Is Genetically Modified, GMO, which in and of itself causes cancer according to several suppressed studies, The food contains artificial ingredients, toxic pestacides such as Glyphosate, and Atrazine (Atrazine literally turns men into women at a 1ppb dose (part per billion).  The Music is Jews paying black people to rap about thug life,  Black Rapper: ""Booty money, drugs, drugs crack, booty money pop caps in the nigga, finga on 'da trigga, real mean nigga, I swang on the tree and remember Tuskeegee, Im a real street nigga. My girl wear a weave and has 10 STDs, I'm a real street nigga.""  The Radio, and Movies, also contain dis-harmonious messages, meant to become unconsciously embedded into the minds of the listeners.  Heres some PSYOP bands:  Slipknot (General disphoric lyrics ""Time of dieing"" latest song etc, ""I have nothing after the army, its all nothing"" etc type lyrics)  Lady Gaga: ""Stop calling me (telephone song""";1
I agree, and that is why I suggest all my Kashmiri brothers to transition. Women are inherently sapphic and we can wage a successful neo-Jihad on the subcontinent. We'll turn the windu female into lesbians and the hindoodoo males, despite our lack of T, will still be unable to physically best us. An attack that will end Lundia;1
"Is it even possible to purge all non-whites and undesirables from North America? Logistically speaking it would be a nightmare. I mean, we could try to negotiate with countries like South Africa They get all our blacks and we get all their Whites.  The only question is how do we impose it? Do we literally just up and say, ""The Boss-Man is back, time for you to get the fuck out?"" Or what? I really don't like the idea of having to off a whole bunch of innocent brown people no matter how detrimental to society they may seem. We have more than enough resources to give their countries the proper infrastructure to sustain their large populations, I think that's a good alternative.";1
>anti kike >Anti american >Anti degeneracy >Put women in their place  >Embraces a culture of marriage and preservation  Why I shouldn't pray to Allah? Give me a valid reason anon.;1
From this data we can see that every single country where women have sexual and political liberty there is also under a 2.0 fertility rate. The ideal fertility rate is 2.0 as you can sustain your aging population with labor without the need for importing youth.  https://data.worldbank.org/indicator/SP.DYN.TFRT.IN  The White men of recent generations are too individualistic to collectively band together and put a stop to feminism, homosexuality, and degeneracy. To do what needs to be done would require stripping women, some of whom you love of their rights and freedoms. It would also require violence as these things simply are never as easy as a vote.  White men do not have the courage to do these things any longer. White men do not believe in God any more or they would not let these foul acts continue. To be White is to be Christian and therefore Christianity must be wrong. Because I do not agree with the progress of this world.  Therefore I am surrendering to Islam. The only hope to live under a non-degenerate, God of Abraham society. Hopefully in my life Islam can take one European country, Sharia it and I can move there.  Allah Akbar ???? ????) The new White and Islamic master race will be born soon.  (Also I want like 12 wives, thats based);1
"I'm new here, and apparently you all believe we're a threat to your so called ""western civilization"", well guess what? You're right, i was surprised that you got this right because after browsing for aprox. an hour you're all very stupid, anyway, we're burning it all to the ground, Politically and geopolitically speaking, islam has already won, its just a matter of time now.";1
>>388603256 Europe is the motherland, but in our flourishing as a people, we have spread far and wide.  America, if unified completely under a continent, will be such a global powerhouse that all will bow to it. It will be a neo Atlantean Imperium in the vision of Francis Parker Yockey. Our Mannerbunds will scour every inch of this continent from the arctic circle to the Panama canal and all of it will be fashioned into an Aryan Empire for only those with Aryan blood.  Our government will be a monarchy, and it will be glorious. We are not the fourth of anything. We are the first of our kind, and none which preceded us were as glorious. We shall top them all in our splendor and strength. We shall subjugate all underfoot, and Jews in their cursed state will lament our name. The very dark demons in the eternal abyss from whence their malformed race came shall quake in fear at our approach. Moloch itself will scorn us for our passing. We shall damn the entire Jewish race to oblivion, wiping them out and cleansing the land of their vile existence.  We shall turn Israel into nuclear hellfire. We shall bring the next ice age into being and decimate the moneylenders.  The next hundred billion years will not contain enough time to enjoy the screams and dreadful wailing of the Jews as we punish them for their insolence, for they look upon we gods and deign to dictate our destiny.  This land shall be the seed for an Imperium that shall unite Europe along with it. The days of petty stateism are over.;1
Neo-Nazis are constantly smeared as glowniggers and spergs for their bad optics or whatever, but I seriously can not think of a single better American politician than this man, who flew the swastika. Why shouldn't I throw my lot in with a man who was so obviously correct? Also requesting more/similar links like the two below that swayed me to Rockwell's position.  https://www.bitchute.com/video/MhP4AVxXlzvW/?list=watch-later&randomize=false https://www.bitchute.com/video/8r080DpRF30q/;1
>>50603932 Yep, we are in the dark ages of demonic judeocracy. Literally the gutter of the Kali Yuga. We have been through this cycle countless times already (aryan man building civilization > become too comfy/complacent > archonic kikes parasiting it > kikes take over control via subversion > import hordes of shitskins > civilization destroyed > white man have to move out and start back from zero). It happened in India, Egypt, Atlantide, Mesopotamia, China... It's our curse, our karmic wheel until we find the way out of it.;1
">>388622694 Race mixing is not only a grotesque form of involuntary human experimentation, it is also child abuse. It can't be morally justified under any ethical system other than ""Jews demanded it, so it must persist."" When Globalization finally fails and Jews are thrusted out of international power, this disgusting practice will end.";1
