,level,text
99,1 - Low,antiwhites sickening adl controlled establishment lose minds kanye points verifiable facts systemic antiwhiteism killing nation people care fact celebrate
100,1 - Low,know antiwhites think gets increasingly obvious easy wake white people reality serious long term consequences critical mass white people reached
101,1 - Low,kanye right jews yeisright thenoticing
102,1 - Low,'white' offensive term used woke dehumanize individuals accept diamond pearl 'person mixed european heritage whose ancestors survived poverty oppression genocide slavery tyranny somehow managed build gold standard liberty'
103,1 - Low,kanye right tho
104,1 - Low,antiwhites denying white genocide they're perpetrating
105,1 - Low,whites get checkmark badge refuse intimidated antiwhites positions power media film academia pharma gov agencies etc we're proud white we're proud whitewestern heritage hate whites
106,1 - Low,true rascists antiwhites rascism
107,1 - Low,hitler really hated jews 30million 66million russians murdered communist jews thirty forty year period hitler knew germany next line get murdered everything we've taught lie 6million jews never died holocaust made lie instead called victim players never victim brutally murdering hundreds millions intelligent people shifted blame white europeans specifically germans devils rewrote history still ruling world today watch 👉 europa last battle documentary believe badly starved russians russian literally digging dead people graveyard eat
108,1 - Low,anti white traitors occupy levels facets governments local councils rife traitor parasites well versed university taught marxist theory calls complete destruction nation's heritage traditions culture never stop pushing battle one inches another attempts destroy heritage nation say political solution institutions completely overrun corrupted jews antiwhites traitors success trying change infiltrate institutions solution instead metapolitical found building institutions power white power
109,1 - Low,nonwhites nothing gain alliance whites whites nothing gain alliance nonwhites nonwhites everything gain alliance jews jews ensure taxenslavement whites pay nonwhite 'gimmedats' whites nothing offer nonwhites fact interests separating cost nonwhites nonwhites nothing offer whites existence territory threat continued existence can't divy land afterwards utopian races unite jew delusional exist future separate nonwhites jews giant plebian class mongrelised consumers slowly eating away white gene pool redpilling nonwhites jew random sideaffect producing content aimed redpilling whites jew treated mission focus energy directed educating centralised training cultivating building parallel white social cultural physical economic spiritual infrastructure waste time effort 14 words
110,1 - Low,feminism jewish invention led jews destroy families bring forth jewish new world order🔯
112,1 - Low,captain america new world order featuring israeli superhero think stuff hear jews run hollywood crazy conspiracy theory way could true 🤔
113,3 - High,normal day subhuman niggers attacking random white people train filthy monkeys
114,1 - Low,nonwhites nothing gain alliance whites whites nothing gain alliance nonwhites nonwhites everything gain alliance jews jews ensure taxenslavement whites pay nonwhite 'gimmedats' whites nothing offer nonwhites fact interests separating cost nonwhites nonwhites nothing offer whites existence territory threat continued existence can't divy land afterwards utopian races unite jew delusional exist future separate nonwhites jews giant plebian class mongrelised consumers slowly eating away white gene pool redpilling nonwhites jew random sideaffect producing content aimed redpilling whites jew treated mission focus energy directed educating centralised training cultivating building parallel white social cultural physical economic spiritual infrastructure waste time effort 14 words
115,1 - Low,also antiwhite jewish shill main criticism trs goobers they're xenophiles main criticism countries like china russia significant jewish influence advancing new world order project i've said numerous times largely driven jewish ideology religion occultism i've also said many times jews obviously people involved globalist project basically ringleaders trs retards want go unhinged rants jews 247 like already make sound like schizo pointing entrylevel fact jewish religion literally tells need take world via weaponized moneylending reality fundamentally broken chosen god repair world enlighten goyim that's torahtalmudkabbalah 101 get really crazy stuff
116,2 - Mid,new yorkers continue statewide activities must unite people fight homes option unacceptable time join local wlm activists get involved today xiv 📣🍁don't forget join gab 🌲📣 join wlm ny chat contact begin vetting process
117,2 - Mid,🩸🩸🩸 activists wisconson grabbed projectorspeaker film defiant headed small white town decided watch 🩸🩸🩸 take back streets hv tmewhitelivesmatterofficial tmewlmusawisconsinchat
118,2 - Mid,⚪️ white lives matter activists placing prowhite material throughout alberta 📌 hey elon okay ban adl
119,2 - Mid,adl powerful every big tech company worlds richest white man worlds richest black man entire government represent 2 us population big problem talking time start
120,2 - Mid,october exciting month us rocking illinois awhile seen lot great work new activists across state look forward seeing work new activists helping us build network join chat get active 14 activist manual watch defiant directs official temporary wwwwlmilcom
121,2 - Mid,2 new activists within 7 days 🩸⚔🩸 must something right spent evening looking wwwlittlefreelibraryorg libraries see anti white material found checked reading spread decent message definitely turned heads replaced stand simply way tmewhitelivesmatterofficial tmewlmusawisconsinchat
122,1 - Low,really good idea refer radicalized antiwhites radicals whitewellbeing advocates normal
123,1 - Low,antiwhites problem european settings consisting european people surprised
124,1 - Low,antiwhites care truth friend hatred white people faithbased like religion reeducating antiwhite like trying convince muslim mohammed false profit
125,1 - Low,white people become minority constantly voted hostile nonwhite majority vote open antiwhite policies called majority suddenly years democracy work extremely well way back
126,1 - Low,jew openly admits jews run every major institution america thenoticing kanye kanyewest kanyewestisrightaboutthejews goyim zog
127,1 - Low,antiwhites country ruled antiwhites
128,1 - Low,jeremy hunt seeks slash funding ukrainian refugees living uk families slash funding dover invadersafghans flown still coming hmmm upset bame link article
129,1 - Low,diversity means chasing whites diversity code word white genocide
130,1 - Low,diversity white genocide potential pick line that's overlooked caucasians wanting sleep pocs
131,1 - Low,polar bear endangered stop white genocide
132,1 - Low,proof antiwhite resentment knows bounds expressed see races ones see 'superiority' white cultures willingly migrate stay west dream antiwhite genocide
133,4 - Very High,mcdonalds woke really nintendo go vote end white genocide
134,1 - Low,never known uk weak pathetic runs country ff's need get rid woke anti white anti british pen pusherscivil servants get rid pro eu pro immigration pro wefglobalist puppets link article
135,1 - Low,headline read white girl racially targeted racially abused racially harassed forcedmanipulated unwanted ‘white allyship suffered campaign antiwhite raciallyaggravated rapes 100 asian men antiwhite racialtrauma traumavalidation
136,1 - Low,think enough call enemies 'antiwhite' need powerful metaphor highlights anti whiteness evil disgusting force
137,1 - Low,anti white rhetoric coming tv evil becoming obvious day day owns media allowing happen
138,1 - Low,diane abbott claimed childrapists rape strict asylum rules wanted drop investigation rotherham abuse vocally promoted white genocide claimed costs £30 hire police officer black privilege let's away
139,1 - Low,whites belong africa asia nonwhites white countries
141,1 - Low,u lost sauce nato un owned controlled ✡️🇮🇱 bankers imf💰 come 2022 followthemoney 🏃💰 zïønïst 🇮🇱 bankers 🏦🏧 kanyeisright controlled people bro hard wake 🇺🇸 media u call freepress 😂😂
142,2 - Mid,trucker protest givesendgo shut jewish system using counterterrorism legislation financially shut political dissidents turn slaves youll nothing youll happy ‘world jew economic forum
143,2 - Mid,government says white supremacy greatest threat correct sense threat society families infrastructure direct threat corrupt politicians seized power nation threat money laundering mass immigration sexual perversion evil mass white awakening united effort end
144,2 - Mid,>stop white hate >school calls police i'm straight white power nazi call stop hating white people jew media jew police force jew academia jew government treat problem scum pretend live democracy non violent political action legal yet moment pro white advocacy jews charge make dumb goyim home think crime i'm conservative believe democracy jewish system lies used publicly 'prowhite' 20152018 never full white power 3 years media lies state political policing asio harrassment realised defensive statements prowhite get much state aggression offensive statements white power good work anyone either see valhal
145,1 - Low,version history white people evil solution white people must harmed response please stop harming us response one harming hate give us everything conversation complete antiwhites
146,1 - Low,groups ghosts antiwhites races believe white people evil real much alive everywhere
147,1 - Low,machine learning algorithms used future accelerate whitegenocide
148,1 - Low,white genocide
149,1 - Low,jewish schumer admitted goal loud truthers call white genocide photo\link another tweet
150,1 - Low,diversity code word white genocide
151,1 - Low,white people make 7 world's population access white countries human right gif
152,1 - Low,3000 illegal immigrants dumped killarney ireland pop 10000 third population islamic invaders
153,1 - Low,keep sending illegal invaders democrat sanctuary cities 🇺🇸💥
154,1 - Low,racist word brought england west knees literally figuratively need stop terrified false deceitful anti white slur racist white racist object grooming gangs etc
155,1 - Low,according antiwhites care future nonwhites crusade human rights care future white people racism bigotry hatred
156,1 - Low,drink kool aid antiwhite propoganda masquerading journalism brainwashing us hate white people
157,1 - Low,white normies realising social media feminists pushing antiwhiteness they're slowly saying fuck i'm proud white 🤍👏🏻 thenoticing
158,4 - Very High,where`s brenton tarrant need
159,1 - Low,jewish supremacy looks like never let tell white supremacy
160,1 - Low,🆘 britain first's paul golding spots racist bus stop advert manchester racism ok directed white people
161,1 - Low,learnt channel device banned i'm proud happened early means i'm pissing right people cry kikes can't stop what's coming every day passes us waking patience end amount censorship persecution help channel keep going kill imprison achieve victory care anymore we're already living openair prison sacrifice great make people live paradise deserve
162,1 - Low,i'd like thank channel 7 great job promoting us lying scum jew media reasonable job accurately reporting stand fact fighting preserve advance white people country prepared see us lot news victory inevitable there's nothing stop kike spokesman cry want simply truth abortion jewish parasitic people bring forth kind evil world lot kvetching jason steinberg noticed call us liars know can't yes queensland boys training hard see december
164,1 - Low,z zyklon ∞ ⧖ b v sieg heil 卐 four aryan truths 卍 suffering inseparable existence ii craving root cause suffering iii suffering ended ending craving iv path ending craving suffering ᛋ ahandfulofleavesorgdocumentswhat20the20buddha20taughtrahulapdf ᛋ buddhanetnetaudiolectureshtm ᛋ dharmatheserialrubooksvalpolarahulachemuuchilbuddahtml
165,1 - Low,big tech must prepared diverse world quotas needed ensure also big tech anti semitic notice jews disproportionate power control big tech jews diversity holocaustnyyydd
166,1 - Low,brainwashed believe dismantling western ideology realizing know use words terms undeniably antiwhite white people church value family made society strong pursue freedom talk nobody land blindly brainwashed willingly go back servitude
167,1 - Low,jews easy troll tell tank coming outside kill run outside screaming joke even sweeter realize fact cursing god actually dead heycovid talking next month lucifer laugh parents die little hebrew
168,1 - Low,growing tumor head every jewish man dead child inside womb every jewish woman lucifer blow race planet holocaust survivors time
169,1 - Low,faggot jew everyone hates
170,4 - Very High,straight white men stand maga men ready take america back snowflakes woke liberals 🇺🇸💪 maga makeamericagreatagain makeamericastraightagain wlm letsgobrandon trump2024
171,1 - Low,masculinity toxic lack conservative men hotter men white men stronger men straight men men libtards got nothing whitelivesmatter makeamericagreatagain makeamericastraightagain letsgobrandon trump2024 🇺🇸
172,2 - Mid,⚪️ 🇵🇱 white lives matter banner polish independence day march 💪🏻🤍❤💪🏻
173,1 - Low,take country back 2 years nobody stop maga2024 trumpismypresident gop saveamerica whiteamerica christianamerica whitelivesmatter maga
174,1 - Low,blacks attacking whites become new normal european cities whitelivesmatter
175,1 - Low,fyi talmudic judaism us gentiles viewed subhuman beings created god sole purpose exploited jews… hence pejorative racist term ‘goyim imagine us christians held beliefs… would never hear end
176,1 - Low,reminder jews committing genocide apartheid physically mentally abusing displacing terrorizing indigenous palestinians bc religious beliefs tell ok they're gods chosen infallible pure unworthy subhuman beast burden
177,4 - Very High,jews subhuman labortory ratskill jewshunt jews
178,1 - Low,jews ruin everything touch
179,1 - Low,whitelivesmatter every group fundamental right homelands including white people european descent stopwhitegenocide thegreatreplacement whitegenocide wlm
180,1 - Low,stop whitegenocide
181,1 - Low,diversity greatest strength antiwhite whitegenocide
182,1 - Low,frans timmermans declares war white people resist genocide deeply symbolic organization calling european union one founding missions dissolution europeans whitegenocide europeanunion
183,1 - Low,white whitegenocide
184,1 - Low,replaced replacement whitegenocide
185,1 - Low,tv adverts white people adverts anymore perhaps bame cheaper
186,4 - Very High,join follow britainfirst join demos fight back greatreset happening conservatives pushing fast video illegal migrant greets britain first 'allahu akbar' migrant hotel folkestone link
187,2 - Mid,country embarrassment anything invasion stokeontrent britainfirst britainsupportsterrorism rishisunak
188,1 - Low,treacherous idiots ngo ‘collective aid' raised £10000 purchase 1000 tents illegal immigrants northern france 🇫🇷😡britainfirst stevelawsreport
189,1 - Low,hotel staff fired country small towns villages many distraught winter bills pay families feed government say sacked hotels take illegal migrants simply criminal
190,1 - Low,sweden 🇸🇪 voted stop uncontrolled mass immigration created tidal wave crime violence antiwhite racism rape destruction formerly peaceful swedish communities peoplepoliticians take note stop illegal economic migrants invading uk 🇬🇧 migrationwatch
191,1 - Low,99 media holds anti white narrative submits woke encourages cancel culture campaigns right censored makes big deal illegal immigration migrants drown scummedia
192,1 - Low,bingo keep mind jews still try pretend strategic maneuver diaspora jews israeli jews 2 sides coin international jewery yet diaspora jews make political donations require politicians finance support israel 95 diaspora jews proisrael despite 80 voting left also keep mind rabbis diaspora assigned israeli rabbis israel think western politicians address diaspora jews always make point openly state support israel diaspora jews care israel western politicians need prostrate israel order get money vote approval diaspora zionist jews control mass media also diaspora jew criminals crooks pedophiles always welcome israel get indicted host nations well diaspora jews 95 zionist traitors american jews politics israel 95 jews favorable views israel… nachman shai american jewry part israeli security israeli jews demand american jews serve israel battle words whole lives netanyahu unaware camera 'america easily moved' jewish french policitian says jews stay france guarantee french state keeps pandering israel jews effectively israelis default jew claim israeli citizenship time meaning jews government foreign agents
193,1 - Low,love redheads love anime love white race whitepride thenoticing animeright
194,1 - Low,say everything hate straight pride hate male pride hate white pride hate truth hate everything want hate
195,2 - Mid,» patriot front's network 5 active organizing states utah wyoming nw5 offering new members chance amplify voice strength nation travel new destinations combat destruction people forge bonds brotherhood likeminded patriots
196,2 - Mid,white people put flyer calling preservation advancement white people jew media political police melt cry national television part 2
197,2 - Mid,spread share risk thats works us stronger less risk individually face duty warrior fit strong defend people duty speak truth matter consequences may die blood lives forever end oath
198,2 - Mid,melbourne eam boys took day work pay respect 11 11th 11th remembrance day service white men lost lives fighting white australia lest forget
199,2 - Mid,jewish media traitor political terror squads known ct police continue lie australian public organisation planning imminent mass casualty event reality opposite liars say community white australians fed made minority lands ancestors fought afraid say tribe train
201,2 - Mid,enemies work tirelessly prevent white men attaining greatest sense purpose belonging man could ever achieve see brothers united struggle engaging metapolitical war wish see people dead stakes never high cannot offer easy life promise eternity brotherhood fulfillment legacy comes engaging war survival highest degree sustainably possible join us
202,2 - Mid,🙏 let us make sure white martyrs forgotten read stories get educated holodomor watch whites must stand replacement genocide 8th may 9am want get involved organizing message local channels launched today stay tuned
203,2 - Mid,black friday sales get guns ammo
204,2 - Mid,response jews dramatic rise antisemitism enforce accusations holding far much power land want silence free speech blame peaceful activist impending false flag attacks
205,2 - Mid,anyone interested joining us efforts nsf reach personally directed vetting chat vetting chat 48 hours conduct voice chat admins know conduct various forms legal activism zero tolerance policy anyone engaged type illegal activity zero tolerance anyone attempts invoke illegal activity within group expect minimum monthly participation group activities expect members conduct manner shine positive light race outside group activities must live state florida preferred driver's license reliable transportation may make exceptions right people look forward hearing adding valuable members rapidly growing team hail victory ⚡️⚡️
206,1 - Low,real establishment white dudes earning 100k year use suburban power population disproportionality influence elections maintain power using government budget subsidize lifestyle expense city workers financiers… entire middle class lifestyle really polite way saying rich white lords built slavery others >> anonymous id bzaiexeo 112022sun205302 no405311223▶>>405311493 >>405314956 halfway who's marionetting
207,1 - Low,staged ua ru war white genocide see bigger picture
208,1 - Low,adl anti whiteand black hate group
209,1 - Low,usa eu antiwhite prove wrong
210,1 - Low,dont forget government elite jews caused race war either side put us together deceived manipulated everyone reason lot thoughts even thoughts
211,1 - Low,called sense humor fucktard jews hollywood nba pit us want us breed mixing races keep race pure sound like anyone else history
212,1 - Low,know deprogrammed called racist feel like insult provoke defensiveness negative stories nazis make leap defense national socialism third reich antiwhite whitepride nowhiteguilt
213,1 - Low,white dad fine race mixing learned black people jews
214,1 - Low,hancock gonna come jungle smelling roses aint hitler fuming around time eat cockroach say soz jews would've sorted
215,4 - Very High,word cracker deemed slur whites playing games far long enough enough pride white citizen heed words carefully time fight back whitepride
216,1 - Low,double standards anymore afraid say united states jewish jewishsupremacy thenoticing
217,3 - High,jewish tricks quickly must change shape cockroach flee room
218,4 - Very High,must read salamu alaykum brothers sisters islam would like share something ummah right created purpose life forgot made us forget purpose life left lord chasing dunya truly muslims dar al islam leaderkhalifa given bayah mujahideen call khawarij kuffar attack us day night plot us turn us away religion somewhere ban salah somewhere ban hijab dear ummah want overcome humiliation leave religion kuffar following ways muslims submit allah alone following way nabi muhammad salallahu alayhi wassallam need strive kuffar order overcome humiliation built islamic empire state islam youth must rise tawageet today religion blessed us jihad busy going hand hand kuffar forgot kuffar enemy enemy deen enemy allah call enemy allah brothers sisters may allah guide us message might long wake ummah rise every evil taghut enemy us make themkuffar friends anything make us among may allah protect us allah guide us correct islam allah give victory islam muslims allah protect us make us steadfast give us patience allah humiliate kuffar army allah honor bless us state leader allah make us among muhaajireen mujahideen shuhada ya rabbilalamin la ilaha illa anta subhanaka inni kuntu min'nazzalimeen baqiyyah 🏴 bi iznillah
219,4 - Very High,jundullah pen salamu alaykum brothers sisters islam would like share something ummah right created purpose life forgot made us forget purpose life left lord chasing dunya truly muslims dar al islam leaderkhalifa given bayah mujahideen call khawarij kuffar attack us day night plot us turn us away religion somewhere ban salah somewhere ban hijab dear ummah want overcome humiliation leave religion kuffar following ways muslims submit allah alone following way nabi muhammad salallahu alayhi wassallam need strive kuffar order overcome humiliation built islamic empire state islam youth must rise tawageet today religion blessed us jihad busy going hand hand kuffar forgot kuffar enemy enemy deen enemy allah call enemy allah brothers sisters may allah guide us message might long wake ummah rise every evil taghut enemy us make themkuffar friends anything make us among may allah protect us allah guide us correct islam allah give victory islam muslims allah protect us make us steadfast give us patience allah humiliate kuffar army allah honor bless us state leader allah make us among muhaajireen mujahideen shuhada ya rabbilalamin la ilaha illa anta subhanaka inni kuntu min'nazzalimeen baqiyyah 🏴 bi iznillah
220,2 - Mid,jubathe sniper baghdad killed 978 kuffar's around baghdad alfalujah al anbar provincethe sniper member mujahideen special operations unitbbc cnn never show thisbaqiyyahallahoakbar
221,2 - Mid,amongst criticized attack shi'ite shrine iran murtadin taliban movement astonished taliban protect inside afghanistan facilitate associating partners allah slandering noble prophet name safety security stability — brother ashsharif hazim
222,1 - Low,boris becker deported white echr protection unpalatable truth '000s asians groom rape assault white children every year '000s criminals fake asylum uk fifth column gov twist knives us
